@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
299,'2018/04/04 19:36:39:075',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
300,'2018/04/04 19:36:39:279',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
301,'2018/04/04 19:36:39:483',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
302,'2018/04/04 19:36:39:685',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
303,'2018/04/04 19:36:39:889',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
304,'2018/04/04 19:36:40:091',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
305,'2018/04/04 19:36:40:291',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
306,'2018/04/04 19:36:40:494',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
307,'2018/04/04 19:36:40:696',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
308,'2018/04/04 19:36:40:897',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
309,'2018/04/04 19:36:41:100',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
310,'2018/04/04 19:36:41:301',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
