@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute iaccel_max numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accel_max10 numeric
@attribute accel_stddev10 numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute contuctor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3}

@data
48,'2018/04/05 13:44:25:817',3,518,0,0,0,21,1,0,0,0,0,519,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,'2018/04/05 13:44:40:844',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,'2018/04/05 13:44:41:048',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,'2018/04/05 13:44:41:251',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,'2018/04/05 13:44:41:454',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,'2018/04/05 13:44:41:658',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,'2018/04/05 13:44:41:859',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
55,'2018/04/05 13:44:42:062',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
56,'2018/04/05 13:44:42:266',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
57,'2018/04/05 13:44:42:471',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
58,'2018/04/05 13:44:42:676',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
