@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute icorners numeric
@attribute icornersx numeric
@attribute icornersy numeric
@attribute iaccel_Max10 numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accelMax numeric
@attribute accel_stddev numeric
@attribute posx-stddev numeric
@attribute posy-stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute conductor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3,4,5}
@attribute corners {0,1,2,3,4,5}
@attribute cornersx numeric
@attribute cornersy numeric

@data
70,'2018/04/10 20:55:42:763',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
71,'2018/04/10 20:55:42:779',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
72,'2018/04/10 20:56:41:270',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
73,'2018/04/10 20:56:41:287',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
74,'2018/04/10 20:56:41:304',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
75,'2018/04/10 20:56:41:320',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
76,'2018/04/10 20:56:41:356',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
77,'2018/04/10 20:56:41:372',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
78,'2018/04/10 20:56:41:388',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
79,'2018/04/10 20:56:41:422',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
80,'2018/04/10 20:56:41:439',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
81,'2018/04/10 20:56:41:471',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
82,'2018/04/10 20:56:41:487',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83,'2018/04/10 20:56:41:504',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84,'2018/04/10 20:56:41:521',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85,'2018/04/10 20:56:41:538',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
